Date,Time,CO2
2024-11-12,12:20:55,455.00
2024-11-12,12:25:51,434.00
2024-11-12,12:30:58,461.00
2024-11-12,12:35:51,465.00
2024-11-12,12:40:54,448.00
2024-11-12,12:45:51,454.00
2024-11-12,12:50:57,459.00
2024-11-12,12:55:50,447.00
2024-11-12,13:00:55,456.00
2024-11-12,13:05:51,481.00
2024-11-12,13:10:57,455.00
2024-11-12,13:15:51,446.00
2024-11-12,13:20:55,434.00
2024-11-12,13:25:50,435.00
2024-11-12,13:30:57,459.00
2024-11-12,13:35:51,467.00
2024-11-12,13:40:55,456.00
2024-11-12,13:45:51,431.00
2024-11-12,13:50:57,437.00
2024-11-12,13:55:51,456.00
2024-11-12,14:00:54,463.00
2024-11-12,14:05:51,447.00
2024-11-12,14:10:57,427.00
2024-11-12,14:15:50,425.00
2024-11-12,14:20:55,433.00
2024-11-12,14:25:51,441.00
2024-11-12,14:30:56,451.00
2024-11-12,14:35:53,431.00
2024-11-12,14:40:57,415.00
2024-11-12,14:45:51,422.00
2024-11-12,14:50:58,451.00
2024-11-12,14:55:52,467.00
2024-11-12,15:00:55,454.00
2024-11-12,15:05:52,501.00
2024-11-12,15:10:58,509.00
2024-11-12,15:15:51,515.00
2024-11-12,15:20:56,548.00
2024-11-12,15:25:52,532.00
2024-11-12,15:30:58,504.00
2024-11-12,15:35:52,479.00
2024-11-12,15:40:57,491.00
2024-11-12,15:45:51,515.00
2024-11-12,15:50:57,542.00
2024-11-12,15:55:52,543.00
2024-11-12,16:00:56,551.00
2024-11-12,16:05:52,579.00
2024-11-12,16:10:59,566.00
2024-11-12,16:15:52,562.00
2024-11-12,16:20:55,558.00
2024-11-12,16:25:52,548.00
2024-11-12,16:30:58,544.00
2024-11-12,16:35:51,510.00
2024-11-12,16:40:56,512.00
2024-11-12,16:45:52,551.00
2024-11-12,16:50:57,570.00
2024-11-12,16:55:51,547.00
2024-11-12,17:00:56,503.00
2024-11-12,17:05:51,490.00
2024-11-12,17:10:58,468.00
2024-11-12,17:15:52,455.00
2024-11-12,17:20:55,451.00
2024-11-12,17:25:51,442.00
2024-11-12,17:30:58,473.00
2024-11-12,17:35:52,473.00
2024-11-12,17:40:56,439.00
2024-11-12,17:45:52,440.00
2024-11-12,17:50:58,465.00
2024-11-12,17:55:51,472.00
2024-11-12,18:00:56,482.00
2024-11-12,18:05:52,488.00
2024-11-12,18:10:58,485.00
2024-11-12,18:15:53,521.00
2024-11-12,18:20:58,513.00
2024-11-12,18:25:52,501.00
2024-11-12,18:30:59,515.00
2024-11-12,18:35:54,511.00
2024-11-12,18:40:57,522.00
2024-11-12,18:45:52,570.00
2024-11-12,18:50:59,582.00
2024-11-12,18:55:53,555.00
2024-11-12,19:00:57,515.00
2024-11-12,19:05:53,494.00
2024-11-12,19:10:58,487.00
2024-11-12,19:15:53,461.00
2024-11-12,19:20:58,462.00
2024-11-12,19:25:53,452.00
2024-11-12,19:30:59,452.00
2024-11-12,19:35:53,499.00
2024-11-12,19:40:57,545.00
2024-11-12,19:45:53,534.00
2024-11-12,19:51,540.00
2024-11-12,19:55:53,550.00
2024-11-12,20:00:57,544.00
2024-11-12,20:05:53,538.00
2024-11-12,20:11,509.00
2024-11-12,20:15:53,502.00
2024-11-12,20:20:57,495.00
2024-11-12,20:25:53,468.00
2024-11-12,20:30:59,460.00
2024-11-12,20:35:52,467.00
2024-11-12,20:40:57,492.00
2024-11-12,20:45:53,483.00
2024-11-12,20:50:59,448.00
2024-11-12,20:55:53,456.00
2024-11-12,21:00:56,458.00
2024-11-12,21:05:53,444.00
2024-11-12,21:11,444.00
2024-11-12,21:15:53,453.00
2024-11-12,21:20:57,457.00
2024-11-12,21:25:55,486.00
2024-11-12,21:31,508.00
2024-11-12,21:35:53,487.00
2024-11-12,21:40:57,490.00
2024-11-12,21:45:54,474.00
2024-11-12,21:51,475.00
2024-11-12,21:55:54,494.00
2024-11-12,22:00:58,502.00
2024-11-12,22:05:54,504.00
2024-11-12,22:11,507.00
2024-11-12,22:15:54,533.00
2024-11-12,22:20:58,524.00
2024-11-12,22:25:54,534.00
2024-11-12,22:31:01,521.00
2024-11-12,22:35:54,521.00
2024-11-12,22:40:58,533.00
2024-11-12,22:45:54,524.00
2024-11-12,22:51,505.00
2024-11-12,22:55:54,469.00
2024-11-12,23:00:58,463.00
2024-11-12,23:05:54,465.00
2024-11-12,23:11,471.00
2024-11-12,23:15:54,478.00
2024-11-12,23:20:58,462.00
2024-11-12,23:25:54,449.00
2024-11-12,23:31,441.00
2024-11-12,23:35:54,438.00
2024-11-12,23:40:58,434.00
2024-11-12,23:45:54,441.00
2024-11-12,23:51:01,436.00
2024-11-12,23:55:54,441.00
2024-11-13,00:00:58,458.00
2024-11-13,00:05:54,467.00
2024-11-13,00:11,480.00
2024-11-13,00:15:54,500.00
2024-11-13,00:20:57,551.00
2024-11-13,00:25:55,559.00
2024-11-13,00:31:01,503.00
2024-11-13,00:35:53,480.00
2024-11-13,00:40:58,485.00
2024-11-13,00:45:55,481.00
2024-11-13,00:51:01,488.00
2024-11-13,00:55:55,469.00
2024-11-13,01:00:59,461.00
2024-11-13,01:05:54,483.00
2024-11-13,01:11:01,463.00
2024-11-13,01:15:55,453.00
2024-11-13,01:20:59,465.00
2024-11-13,01:25:55,464.00
2024-11-13,01:31:01,464.00
2024-11-13,01:35:55,460.00
2024-11-13,01:40:59,487.00
2024-11-13,01:45:55,489.00
2024-11-13,01:51:01,485.00
2024-11-13,01:55:55,499.00
2024-11-13,02:01,473.00
2024-11-13,02:05:55,454.00
2024-11-13,02:11:02,461.00
2024-11-13,02:15:56,472.00
2024-11-13,02:21,460.00
2024-11-13,02:25:54,454.00
2024-11-13,02:31:01,499.00
2024-11-13,02:35:55,483.00
2024-11-13,02:40:58,440.00
2024-11-13,02:45:55,464.00
2024-11-13,02:51:01,476.00
2024-11-13,02:55:54,463.00
2024-11-13,03:00:59,459.00
2024-11-13,03:05:55,468.00
2024-11-13,03:11:01,460.00
2024-11-13,03:15:54,441.00
2024-11-13,03:20:59,457.00
2024-11-13,03:25:54,471.00
2024-11-13,03:31:01,489.00
2024-11-13,03:35:55,502.00
2024-11-13,03:40:59,474.00
2024-11-13,03:45:54,446.00
2024-11-13,03:51:01,438.00
2024-11-13,03:55:55,435.00
2024-11-13,04:00:58,458.00
2024-11-13,04:05:56,450.00
2024-11-13,04:11:02,448.00
2024-11-13,04:15:55,492.00
2024-11-13,04:21,493.00
2024-11-13,04:25:56,492.00
2024-11-13,04:31:02,485.00
2024-11-13,04:35:55,483.00
2024-11-13,04:41,502.00
2024-11-13,04:45:55,518.00
2024-11-13,04:51:02,489.00
2024-11-13,04:55:56,477.00
2024-11-13,05:00:59,489.00
2024-11-13,05:05:55,489.00
2024-11-13,05:11:02,493.00
2024-11-13,05:15:55,487.00
2024-11-13,05:20:59,505.00
2024-11-13,05:25:56,499.00
2024-11-13,05:31:02,476.00
2024-11-13,05:35:55,455.00
2024-11-13,05:41,473.00
2024-11-13,05:45:56,493.00
2024-11-13,05:51:02,494.00
2024-11-13,05:55:56,492.00
